Pathway,Subject,Skills_Required,Competency_Type,Career,Industry_Sector
Social Sciences,Psychology,"Ethical reasoning, Writing, Policy analysis",Citizenship,Diplomat,Education
Social Sciences,Psychology,"Writing, Research, Communication",Communication & Collaboration,Diplomat,Education
Social Sciences,Geography,"Writing, Critical thinking, Ethical reasoning",Communication & Collaboration,Counselor,Education
Social Sciences,Economics,"Policy analysis, Research, Critical thinking",Communication & Collaboration,Historian,Public Policy
TVET,Hospitality,"Troubleshooting, Maintenance, Manual dexterity",Learning to Learn,Electrician,Skilled Trades
Social Sciences,Religious Studies,"Ethical reasoning, Critical thinking, Research",Critical Thinking & Problem Solving,Diplomat,Government
Social Sciences,History,"Critical thinking, Ethical reasoning, Research",Communication & Collaboration,Economist,Public Policy
Social Sciences,Geography,"Policy analysis, Data interpretation, Critical thinking",Critical Thinking & Problem Solving,Policy Analyst,NGO Sector
STEM,Physics,"Problem solving, Programming, Data analysis",Digital Literacy,Laboratory Technologist,Technology
Business,Finance,"Leadership, Strategic planning, Decision making",Self-Efficacy,Entrepreneur,Entrepreneurship
STEM,Physics,"Research, Data analysis, Analytical reasoning",Critical Thinking & Problem Solving,Environmental Analyst,Technology
Business,Supply Chain Management,"Marketing analysis, Risk management, Decision making",Learning to Learn,Business Manager,Finance
Arts & Sports,Dance,"Coordination, Public speaking, Creativity",Communication & Collaboration,Art Director,Media
TVET,Fashion Design,"Customer service, Entrepreneurship, Troubleshooting",Critical Thinking & Problem Solving,Electrician,Manufacturing
Business,Entrepreneurship,"Financial literacy, Risk management, Strategic planning",Communication & Collaboration,Investment Analyst,Entrepreneurship
Arts & Sports,Dance,"Performance, Creativity, Coordination",Self-Efficacy,Sports Coach,Media
TVET,Hospitality,"Customer service, Maintenance, Entrepreneurship",Self-Efficacy,Auto Mechanic,Skilled Trades
TVET,Automotive Technology,"Maintenance, Safety compliance, Manual dexterity",Learning to Learn,Construction Technician,Construction
TVET,Hospitality,"Technical skills, Manual dexterity, Customer service",Self-Efficacy,Welder,Hospitality
Business,Supply Chain Management,"Risk management, Decision making, Strategic planning",Self-Efficacy,Investment Analyst,Corporate Sector
Arts & Sports,Drama,"Public speaking, Design thinking, Coordination",Self-Efficacy,Actor,Creative Arts
Social Sciences,Psychology,"Policy analysis, Research, Data interpretation",Citizenship,Historian,Government
STEM,Chemistry,"Problem solving, Research, Analytical reasoning",Learning to Learn,Doctor,Healthcare
Business,Entrepreneurship,"Negotiation, Decision making, Marketing analysis",Communication & Collaboration,Sales Director,Entrepreneurship
Arts & Sports,Physical Education,"Discipline, Public speaking, Creativity",Creativity & Imagination,Musician,Media
Business,Commerce,"Negotiation, Risk management, Marketing analysis",Learning to Learn,Business Manager,Finance
Arts & Sports,Graphic Design,"Design thinking, Creativity, Performance",Self-Efficacy,Art Director,Entertainment
TVET,Carpentry,"Manual dexterity, Entrepreneurship, Safety compliance",Critical Thinking & Problem Solving,Welder,Construction
TVET,Hospitality,"Technical skills, Customer service, Troubleshooting",Learning to Learn,Plumber,Construction
Business,Supply Chain Management,"Financial literacy, Leadership, Marketing analysis",Communication & Collaboration,Accountant,Corporate Sector
STEM,Biology,"Programming, Data analysis, Experimentation",Digital Literacy,Environmental Analyst,Engineering
Social Sciences,Religious Studies,"Communication, Ethical reasoning, Critical thinking",Citizenship,Historian,Government
Social Sciences,Sociology,"Writing, Research, Data interpretation",Citizenship,Urban Planner,NGO Sector
Business,Finance,"Risk management, Decision making, Marketing analysis",Learning to Learn,Entrepreneur,Entrepreneurship
TVET,Automotive Technology,"Manual dexterity, Troubleshooting, Maintenance",Critical Thinking & Problem Solving,Electrician,Skilled Trades
TVET,Hospitality,"Entrepreneurship, Manual dexterity, Troubleshooting",Self-Efficacy,Plumber,Hospitality
Social Sciences,Sociology,"Policy analysis, Ethical reasoning, Writing",Citizenship,Urban Planner,Public Policy
Business,Marketing,"Risk management, Leadership, Decision making",Communication & Collaboration,Operations Manager,Entrepreneurship
Arts & Sports,Music,"Performance, Creativity, Design thinking",Self-Efficacy,Choreographer,Media
Arts & Sports,Music,"Teamwork, Coordination, Discipline",Self-Efficacy,Film Producer,Entertainment
STEM,Chemistry,"Research, Critical thinking, Experimentation",Critical Thinking & Problem Solving,Software Engineer,Engineering
TVET,Hospitality,"Troubleshooting, Entrepreneurship, Safety compliance",Self-Efficacy,Construction Technician,Construction
Social Sciences,Sociology,"Research, Data interpretation, Critical thinking",Critical Thinking & Problem Solving,Policy Analyst,Education
Arts & Sports,Film Studies,"Teamwork, Public speaking, Performance",Creativity & Imagination,Film Producer,Sports Industry
Social Sciences,Psychology,"Critical thinking, Ethical reasoning, Writing",Citizenship,Urban Planner,NGO Sector
Arts & Sports,Fine Art,"Discipline, Performance, Public speaking",Creativity & Imagination,Actor,Creative Arts
TVET,Carpentry,"Troubleshooting, Entrepreneurship, Manual dexterity",Learning to Learn,Hotel Manager,Manufacturing
STEM,Physics,"Data analysis, Experimentation, Analytical reasoning",Critical Thinking & Problem Solving,Doctor,Environmental Services
Business,Supply Chain Management,"Negotiation, Risk management, Marketing analysis",Communication & Collaboration,Business Manager,Retail
TVET,Electrical Installation,"Technical skills, Entrepreneurship, Customer service",Critical Thinking & Problem Solving,Construction Technician,Manufacturing
Arts & Sports,Music,"Public speaking, Design thinking, Coordination",Creativity & Imagination,Sports Coach,Media
STEM,Chemistry,"Experimentation, Critical thinking, Research",Critical Thinking & Problem Solving,Actuary,Environmental Services
Arts & Sports,Film Studies,"Coordination, Teamwork, Discipline",Self-Efficacy,Actor,Media
TVET,Fashion Design,"Customer service, Troubleshooting, Technical skills",Self-Efficacy,Auto Mechanic,Skilled Trades
Arts & Sports,Graphic Design,"Public speaking, Design thinking, Teamwork",Communication & Collaboration,Musician,Creative Arts
STEM,Chemistry,"Problem solving, Research, Critical thinking",Critical Thinking & Problem Solving,Laboratory Technologist,Environmental Services
Business,Accounting,"Marketing analysis, Strategic planning, Decision making",Learning to Learn,Marketing Manager,Finance
Business,Accounting,"Risk management, Strategic planning, Marketing analysis",Communication & Collaboration,Marketing Manager,Finance
Business,Commerce,"Strategic planning, Marketing analysis, Risk management",Self-Efficacy,Marketing Manager,Corporate Sector
Business,Supply Chain Management,"Risk management, Decision making, Marketing analysis",Self-Efficacy,Sales Director,Retail
TVET,Electrical Installation,"Entrepreneurship, Technical skills, Safety compliance",Critical Thinking & Problem Solving,Electrician,Manufacturing
Arts & Sports,Music,"Discipline, Performance, Coordination",Communication & Collaboration,Sports Coach,Sports Industry
TVET,Plumbing,"Maintenance, Technical skills, Entrepreneurship",Learning to Learn,Hotel Manager,Manufacturing
Social Sciences,Political Science,"Ethical reasoning, Critical thinking, Communication",Citizenship,Counselor,Public Policy
Arts & Sports,Fine Art,"Coordination, Public speaking, Teamwork",Self-Efficacy,Art Director,Sports Industry
Business,Business Studies,"Leadership, Risk management, Strategic planning",Communication & Collaboration,Investment Analyst,Retail
Business,Marketing,"Strategic planning, Risk management, Negotiation",Learning to Learn,Accountant,Finance
STEM,Mathematics,"Analytical reasoning, Research, Programming",Critical Thinking & Problem Solving,Doctor,Environmental Services
STEM,Statistics,"Analytical reasoning, Problem solving, Research",Critical Thinking & Problem Solving,Laboratory Technologist,Environmental Services
STEM,Mathematics,"Problem solving, Experimentation, Analytical reasoning",Critical Thinking & Problem Solving,Environmental Analyst,Engineering
Business,Entrepreneurship,"Risk management, Strategic planning, Decision making",Communication & Collaboration,Marketing Manager,Corporate Sector
Arts & Sports,Drama,"Performance, Coordination, Design thinking",Communication & Collaboration,Film Producer,Media
TVET,Plumbing,"Manual dexterity, Safety compliance, Maintenance",Critical Thinking & Problem Solving,Electrician,Hospitality
Social Sciences,Political Science,"Writing, Policy analysis, Research",Citizenship,Diplomat,NGO Sector
Business,Entrepreneurship,"Marketing analysis, Decision making, Strategic planning",Self-Efficacy,Sales Director,Corporate Sector
TVET,Welding,"Maintenance, Troubleshooting, Entrepreneurship",Learning to Learn,Construction Technician,Hospitality
Arts & Sports,Drama,"Design thinking, Creativity, Teamwork",Communication & Collaboration,Actor,Sports Industry
Business,Finance,"Risk management, Strategic planning, Negotiation",Communication & Collaboration,Business Manager,Corporate Sector
TVET,Plumbing,"Manual dexterity, Troubleshooting, Maintenance",Learning to Learn,Auto Mechanic,Construction
Business,Finance,"Marketing analysis, Risk management, Negotiation",Self-Efficacy,Marketing Manager,Entrepreneurship
STEM,Chemistry,"Problem solving, Critical thinking, Research",Critical Thinking & Problem Solving,Actuary,Engineering
TVET,Carpentry,"Troubleshooting, Manual dexterity, Safety compliance",Critical Thinking & Problem Solving,Electrician,Hospitality
Social Sciences,Religious Studies,"Communication, Policy analysis, Data interpretation",Communication & Collaboration,Social Worker,Public Policy
TVET,Electrical Installation,"Technical skills, Troubleshooting, Customer service",Critical Thinking & Problem Solving,Welder,Skilled Trades
Arts & Sports,Physical Education,"Public speaking, Discipline, Creativity",Self-Efficacy,Musician,Sports Industry
TVET,Plumbing,"Customer service, Technical skills, Entrepreneurship",Critical Thinking & Problem Solving,Welder,Construction
Arts & Sports,Graphic Design,"Performance, Design thinking, Teamwork",Self-Efficacy,Actor,Media
Business,Supply Chain Management,"Marketing analysis, Financial literacy, Risk management",Communication & Collaboration,Entrepreneur,Corporate Sector
TVET,Welding,"Customer service, Manual dexterity, Entrepreneurship",Critical Thinking & Problem Solving,Electrician,Manufacturing
STEM,Environmental Science,"Critical thinking, Data analysis, Research",Learning to Learn,Data Scientist,Environmental Services
STEM,Environmental Science,"Problem solving, Experimentation, Research",Critical Thinking & Problem Solving,Laboratory Technologist,Technology
Business,Business Studies,"Strategic planning, Decision making, Marketing analysis",Learning to Learn,Entrepreneur,Retail
Social Sciences,Religious Studies,"Writing, Communication, Data interpretation",Citizenship,Counselor,Education
TVET,Electrical Installation,"Technical skills, Entrepreneurship, Customer service",Self-Efficacy,Welder,Manufacturing
TVET,Carpentry,"Troubleshooting, Technical skills, Customer service",Learning to Learn,Welder,Skilled Trades
Business,Accounting,"Financial literacy, Decision making, Risk management",Learning to Learn,Sales Director,Entrepreneurship
Social Sciences,Economics,"Data interpretation, Writing, Research",Critical Thinking & Problem Solving,Historian,Government
Business,Supply Chain Management,"Leadership, Financial literacy, Marketing analysis",Communication & Collaboration,Accountant,Finance
STEM,Environmental Science,"Problem solving, Analytical reasoning, Experimentation",Digital Literacy,Actuary,Technology
Social Sciences,Sociology,"Writing, Critical thinking, Research",Critical Thinking & Problem Solving,Counselor,NGO Sector
Arts & Sports,Music,"Coordination, Discipline, Creativity",Self-Efficacy,Choreographer,Creative Arts
Arts & Sports,Fine Art,"Performance, Design thinking, Coordination",Communication & Collaboration,Graphic Designer,Sports Industry
STEM,Biology,"Research, Problem solving, Experimentation",Learning to Learn,Doctor,Engineering
Arts & Sports,Graphic Design,"Teamwork, Performance, Coordination",Communication & Collaboration,Musician,Entertainment
TVET,Welding,"Maintenance, Safety compliance, Customer service",Critical Thinking & Problem Solving,Plumber,Skilled Trades
Arts & Sports,Film Studies,"Design thinking, Discipline, Coordination",Self-Efficacy,Sports Coach,Sports Industry
Arts & Sports,Dance,"Creativity, Teamwork, Discipline",Communication & Collaboration,Actor,Entertainment
STEM,Biology,"Data analysis, Critical thinking, Analytical reasoning",Learning to Learn,Actuary,Environmental Services
Business,Finance,"Strategic planning, Negotiation, Leadership",Learning to Learn,Accountant,Finance
Arts & Sports,Music,"Performance, Coordination, Public speaking",Creativity & Imagination,Art Director,Entertainment
STEM,Computer Science,"Critical thinking, Analytical reasoning, Data analysis",Digital Literacy,Laboratory Technologist,Environmental Services
STEM,Environmental Science,"Programming, Data analysis, Experimentation",Learning to Learn,Environmental Analyst,Environmental Services
Social Sciences,Sociology,"Writing, Research, Critical thinking",Communication & Collaboration,Policy Analyst,Public Policy
Business,Commerce,"Leadership, Strategic planning, Financial literacy",Communication & Collaboration,Marketing Manager,Entrepreneurship
Business,Commerce,"Decision making, Marketing analysis, Financial literacy",Communication & Collaboration,Marketing Manager,Finance
TVET,Fashion Design,"Manual dexterity, Entrepreneurship, Troubleshooting",Learning to Learn,Welder,Hospitality
Arts & Sports,Film Studies,"Coordination, Design thinking, Performance",Creativity & Imagination,Musician,Media
TVET,Welding,"Troubleshooting, Maintenance, Entrepreneurship",Critical Thinking & Problem Solving,Hotel Manager,Skilled Trades
Arts & Sports,Film Studies,"Design thinking, Public speaking, Coordination",Self-Efficacy,Film Producer,Creative Arts
Arts & Sports,Physical Education,"Performance, Teamwork, Discipline",Creativity & Imagination,Graphic Designer,Creative Arts
STEM,Mathematics,"Programming, Data analysis, Analytical reasoning",Learning to Learn,Doctor,Healthcare
STEM,Chemistry,"Data analysis, Critical thinking, Experimentation",Digital Literacy,Software Engineer,Technology
Social Sciences,Psychology,"Policy analysis, Communication, Critical thinking",Communication & Collaboration,Policy Analyst,Education
Social Sciences,Psychology,"Policy analysis, Communication, Critical thinking",Citizenship,Counselor,Education
STEM,Mathematics,"Experimentation, Programming, Data analysis",Learning to Learn,Laboratory Technologist,Technology
Business,Finance,"Marketing analysis, Leadership, Risk management",Learning to Learn,Sales Director,Corporate Sector
Business,Marketing,"Leadership, Negotiation, Financial literacy",Self-Efficacy,Entrepreneur,Finance
STEM,Chemistry,"Programming, Analytical reasoning, Critical thinking",Critical Thinking & Problem Solving,Data Scientist,Healthcare
TVET,Carpentry,"Safety compliance, Technical skills, Troubleshooting",Critical Thinking & Problem Solving,Hotel Manager,Hospitality
Arts & Sports,Fine Art,"Performance, Teamwork, Design thinking",Communication & Collaboration,Actor,Entertainment
TVET,Fashion Design,"Maintenance, Entrepreneurship, Manual dexterity",Self-Efficacy,Hotel Manager,Construction
STEM,Mathematics,"Data analysis, Critical thinking, Problem solving",Learning to Learn,Software Engineer,Environmental Services
STEM,Environmental Science,"Problem solving, Experimentation, Programming",Critical Thinking & Problem Solving,Laboratory Technologist,Environmental Services
Social Sciences,Psychology,"Data interpretation, Communication, Research",Citizenship,Historian,Government
STEM,Statistics,"Problem solving, Data analysis, Research",Digital Literacy,Software Engineer,Technology
Arts & Sports,Dance,"Discipline, Design thinking, Teamwork",Self-Efficacy,Art Director,Creative Arts
Arts & Sports,Fine Art,"Design thinking, Coordination, Performance",Self-Efficacy,Musician,Creative Arts
Social Sciences,Psychology,"Writing, Policy analysis, Ethical reasoning",Critical Thinking & Problem Solving,Urban Planner,Government
TVET,Hospitality,"Safety compliance, Troubleshooting, Technical skills",Self-Efficacy,Plumber,Skilled Trades
Arts & Sports,Fine Art,"Design thinking, Teamwork, Discipline",Self-Efficacy,Choreographer,Creative Arts
Arts & Sports,Fine Art,"Discipline, Performance, Teamwork",Communication & Collaboration,Film Producer,Sports Industry
Social Sciences,History,"Critical thinking, Data interpretation, Research",Citizenship,Diplomat,Public Policy
Business,Commerce,"Strategic planning, Risk management, Decision making",Learning to Learn,Operations Manager,Entrepreneurship
Arts & Sports,Physical Education,"Creativity, Performance, Teamwork",Creativity & Imagination,Sports Coach,Entertainment
Arts & Sports,Music,"Creativity, Design thinking, Teamwork",Communication & Collaboration,Choreographer,Creative Arts
Arts & Sports,Dance,"Public speaking, Performance, Discipline",Creativity & Imagination,Sports Coach,Sports Industry
Arts & Sports,Fine Art,"Creativity, Public speaking, Design thinking",Communication & Collaboration,Graphic Designer,Entertainment
STEM,Mathematics,"Analytical reasoning, Programming, Research",Digital Literacy,Software Engineer,Technology
Social Sciences,History,"Data interpretation, Communication, Policy analysis",Citizenship,Policy Analyst,Government
Arts & Sports,Graphic Design,"Teamwork, Creativity, Discipline",Communication & Collaboration,Musician,Media
STEM,Environmental Science,"Data analysis, Problem solving, Research",Digital Literacy,Software Engineer,Technology
TVET,Hospitality,"Safety compliance, Technical skills, Customer service",Critical Thinking & Problem Solving,Plumber,Hospitality
Arts & Sports,Dance,"Creativity, Discipline, Performance",Creativity & Imagination,Choreographer,Entertainment
Arts & Sports,Film Studies,"Teamwork, Creativity, Design thinking",Communication & Collaboration,Graphic Designer,Creative Arts
Social Sciences,Religious Studies,"Critical thinking, Data interpretation, Communication",Communication & Collaboration,Social Worker,NGO Sector
Business,Entrepreneurship,"Risk management, Negotiation, Leadership",Learning to Learn,Operations Manager,Retail
STEM,Statistics,"Analytical reasoning, Data analysis, Research",Critical Thinking & Problem Solving,Data Scientist,Healthcare
STEM,Mathematics,"Critical thinking, Programming, Experimentation",Learning to Learn,Civil Engineer,Technology
Arts & Sports,Drama,"Coordination, Discipline, Teamwork",Self-Efficacy,Film Producer,Sports Industry
Social Sciences,Sociology,"Data interpretation, Critical thinking, Policy analysis",Critical Thinking & Problem Solving,Historian,Education
STEM,Biology,"Critical thinking, Experimentation, Data analysis",Digital Literacy,Environmental Analyst,Environmental Services
Social Sciences,Geography,"Communication, Data interpretation, Writing",Citizenship,Diplomat,Government
TVET,Fashion Design,"Manual dexterity, Maintenance, Safety compliance",Learning to Learn,Fashion Designer,Hospitality
Arts & Sports,Drama,"Creativity, Performance, Coordination",Creativity & Imagination,Sports Coach,Sports Industry
STEM,Environmental Science,"Problem solving, Data analysis, Experimentation",Critical Thinking & Problem Solving,Actuary,Technology
STEM,Chemistry,"Analytical reasoning, Experimentation, Problem solving",Learning to Learn,Actuary,Engineering
TVET,Carpentry,"Customer service, Maintenance, Safety compliance",Self-Efficacy,Auto Mechanic,Manufacturing
TVET,Hospitality,"Manual dexterity, Entrepreneurship, Safety compliance",Self-Efficacy,Electrician,Construction
Arts & Sports,Graphic Design,"Discipline, Creativity, Public speaking",Communication & Collaboration,Actor,Creative Arts
Arts & Sports,Dance,"Coordination, Public speaking, Design thinking",Self-Efficacy,Musician,Media
Arts & Sports,Physical Education,"Coordination, Design thinking, Teamwork",Self-Efficacy,Film Producer,Entertainment
Social Sciences,Psychology,"Critical thinking, Writing, Ethical reasoning",Communication & Collaboration,Social Worker,Education
Business,Finance,"Financial literacy, Leadership, Risk management",Self-Efficacy,Investment Analyst,Finance
TVET,Welding,"Troubleshooting, Technical skills, Manual dexterity",Critical Thinking & Problem Solving,Fashion Designer,Construction
Social Sciences,Political Science,"Writing, Policy analysis, Data interpretation",Citizenship,Economist,Education
Arts & Sports,Graphic Design,"Performance, Coordination, Creativity",Creativity & Imagination,Musician,Media
Arts & Sports,Dance,"Design thinking, Coordination, Performance",Self-Efficacy,Choreographer,Creative Arts
Social Sciences,History,"Critical thinking, Ethical reasoning, Communication",Critical Thinking & Problem Solving,Economist,Public Policy
Arts & Sports,Film Studies,"Performance, Coordination, Discipline",Creativity & Imagination,Actor,Creative Arts
Arts & Sports,Fine Art,"Creativity, Teamwork, Discipline",Creativity & Imagination,Sports Coach,Entertainment
Business,Supply Chain Management,"Financial literacy, Decision making, Risk management",Communication & Collaboration,Marketing Manager,Finance
Social Sciences,Sociology,"Ethical reasoning, Communication, Data interpretation",Communication & Collaboration,Policy Analyst,Public Policy
Social Sciences,Economics,"Policy analysis, Communication, Writing",Communication & Collaboration,Historian,Public Policy
Arts & Sports,Dance,"Design thinking, Teamwork, Creativity",Communication & Collaboration,Choreographer,Sports Industry
STEM,Computer Science,"Data analysis, Problem solving, Research",Critical Thinking & Problem Solving,Laboratory Technologist,Environmental Services
Social Sciences,Psychology,"Data interpretation, Policy analysis, Critical thinking",Critical Thinking & Problem Solving,Diplomat,NGO Sector
Social Sciences,Political Science,"Policy analysis, Data interpretation, Writing",Communication & Collaboration,Diplomat,Education
Business,Accounting,"Risk management, Financial literacy, Negotiation",Self-Efficacy,Business Manager,Corporate Sector
STEM,Biology,"Problem solving, Analytical reasoning, Critical thinking",Critical Thinking & Problem Solving,Doctor,Environmental Services
STEM,Biology,"Critical thinking, Problem solving, Experimentation",Learning to Learn,Civil Engineer,Environmental Services
STEM,Mathematics,"Programming, Problem solving, Analytical reasoning",Learning to Learn,Software Engineer,Engineering
Arts & Sports,Film Studies,"Teamwork, Performance, Discipline",Communication & Collaboration,Actor,Entertainment
Social Sciences,Political Science,"Writing, Research, Policy analysis",Critical Thinking & Problem Solving,Social Worker,Public Policy
Arts & Sports,Physical Education,"Teamwork, Public speaking, Coordination",Communication & Collaboration,Film Producer,Sports Industry
Arts & Sports,Fine Art,"Public speaking, Teamwork, Coordination",Creativity & Imagination,Actor,Creative Arts
TVET,Electrical Installation,"Customer service, Technical skills, Safety compliance",Critical Thinking & Problem Solving,Welder,Skilled Trades
Arts & Sports,Fine Art,"Discipline, Design thinking, Creativity",Self-Efficacy,Film Producer,Media
Social Sciences,Economics,"Data interpretation, Communication, Research",Critical Thinking & Problem Solving,Counselor,NGO Sector
Business,Marketing,"Leadership, Decision making, Financial literacy",Self-Efficacy,Operations Manager,Corporate Sector
Social Sciences,Economics,"Research, Writing, Policy analysis",Communication & Collaboration,Policy Analyst,Government
